S-10B
S-2B Google 3 0.5 S:89, I:0, D:53
S-2B Kaldi 4 0.402 S:219, I:0, D:39
S-2B Google 4 0.5 S:184, I:0, D:104
S-2B Kaldi 5 0.324 S:331, I:0, D:70
S-2B Google 5 0.535 S:229, I:0, D:169
S-17A
S-17A Kaldi 0 0.207 S:384, I:0, D:15
S-17A Google 0 0.344 S:319, I:0, D:86
S-17A Kaldi 1 0.146 S:499, I:0, D:18
S-17A Google 1 0.266 S:430, I:0, D:72
S-17A Kaldi 2 0.101 S:284, I:0, D:1
S-17A Google 2 0.223 S:247, I:0, D:40
S-17A Kaldi 3 0.164 S:509, I:0, D:5
S-17A Google 3 0.301 S:427, I:0, D:68
S-17A Kaldi 4 0.142 S:551, I:0, D:22
S-17A Google 4 0.3 S:451, I:0, D:96
S-17A Kaldi 5 0.144 S:280, I:0, D:12
S-17A Google 5 0.31 S:227, I:0, D:61
S-17A Kaldi 6 0.181 S:214, I:1, D:0
S-17A Google 6 0.363 S:167, I:0, D:28
S-17A Kaldi 7 0.183 S:405, I:0, D:9
S-17A Google 7 0.353 S:322, I:0, D:55
S-17A Kaldi 8 0.126 S:201, I:0, D:3
S-17A Google 8 0.306 S:161, I:0, D:31
S-17A Kaldi 9 0.153 S:326, I:0, D:12
S-17A Google 9 0.261 S:286, I:0, D:44
S-17A Kaldi 10 0.114 S:481, I:0, D:12
S-17A Google 10 0.196 S:438, I:0, D:41
S-17A Kaldi 11 0.176 S:70, I:0, D:2
S-17A Google 11 0.218 S:68, I:0, D:9
S-25A
S-15C
S-15C Kaldi 0 0.206 S:197, I:0, D:2
S-15C Google 0 0.352 S:162, I:0, D:45
S-15C Kaldi 1 0.216 S:207, I:0, D:4
S-15C Google 1 0.297 S:187, I:0, D:38
S-15C Kaldi 2 0.237 S:164, I:0, D:6
S-15C Google 2 0.341 S:143, I:0, D:34
S-15C Kaldi 3 0.204 S:187, I:0, D:9
S-15C Google 3 0.304 S:165, I:0, D:42
S-15C Kaldi 4 0.153 S:389, I:0, D:1
S-15C Google 4 0.202 S:368, I:0, D:48
S-15C Kaldi 5 0.211 S:285, I:0, D:22
S-15C Google 5 0.353 S:235, I:0, D:62
S-15C Kaldi 6 0.552 S:13, I:0, D:2
S-15C Google 6 0.484 S:16, I:0, D:7
S-15C Kaldi 7 0.412 S:79, I:12, D:0
S-15C Google 7 0.578 S:49, I:0, D:22
S-15C Kaldi 8 0.187 S:245, I:2, D:0
S-15C Google 8 0.206 S:239, I:0, D:24
S-1A
S-24D
S-24D Kaldi 0 0.302 S:171, I:0, D:14
S-24D Google 0 0.518 S:119, I:0, D:71
S-24D Kaldi 1 0.215 S:204, I:0, D:13
S-24D Google 1 0.412 S:154, I:0, D:55
S-24D Kaldi 2 0.265 S:278, I:0, D:18
S-24D Google 2 0.442 S:212, I:0, D:65
S-24D Kaldi 3 0.262 S:349, I:0, D:16
S-24D Google 3 0.379 S:295, I:0, D:81
S-24D Kaldi 4 0.219 S:497, I:0, D:4
S-24D Google 4 0.406 S:379, I:0, D:134
S-24D Kaldi 5 0.259 S:366, I:0, D:30
S-24D Google 5 0.446 S:275, I:0, D:102
S-24D Kaldi 6 0.217 S:65, I:0, D:8
S-24D Google 6 0.482 S:44, I:0, D:26
S-24D Kaldi 7 0.4 S:39, I:3, D:0
S-24D Google 7 0.548 S:28, I:0, D:8
S-24D Kaldi 8 0.224 S:45, I:0, D:4
S-24D Google 8 0.317 S:41, I:0, D:14
S-24D Kaldi 9 0.338 S:112, I:8, D:0
S-24D Google 9 0.56 S:70, I:0, D:40
S-24D Kaldi 10 0.205 S:62, I:0, D:2
S-24D Google 10 0.512 S:39, I:0, D:24
S-24D Kaldi 11 0.356 S:67, I:0, D:7
S-24D Google 11 0.509 S:52, I:0, D:27
S-31C

Kaldi
average: 0.2792727272727273,  standard deviation:0.1060183476890306

Google
average: 0.42270355731225295,  standard deviation:0.12481149053337882

From the generated results, we can observe that Kaldi tends to have a higher substitution error than Google, 
and Google has a higher deletion error than Kaldi in general, while the insertion error made by both transcripts
are significantly lower than the two other error types.
